id,authority,place,ward,precinct,registered,ballots,il-constitution-votes,il-constitution-yes,il-constitution-no,us-president-votes,us-president-rep,us-president-dem
,,,,BRENTON,553,402,392,77,315,402,296,99
,,,,BUTTON,187,147,145,21,124,147,122,22
,,,,DIX,457,357,347,59,288,354,265,81
,,,,DRUMMER 1,522,376,368,82,286,376,259,112
,,,,DRUMMER 2,415,297,288,72,216,297,201,88
,,,,DRUMMER 3,557,410,403,82,321,410,280,120
,,,,DRUMMER 4,768,547,533,127,406,543,397,137
,,,,DRUMMER 5,590,439,427,102,325,436,285,138
,,,,LYMAN,344,265,255,52,203,263,188,69
,,,,MONA,189,149,147,29,118,149,110,31
,,,,PATTON 1,451,323,316,73,243,321,222,91
,,,,PATTON 2,445,339,329,91,238,338,230,98
,,,,PATTON 3,142,113,111,15,96,113,91,21
,,,,PATTON 4,504,340,330,57,273,340,271,55
,,,,PATTON 5,504,396,382,80,302,393,279,104
,,,,PATTON 6,584,402,392,122,270,397,269,117
,,,,PATTON 7,866,663,644,116,528,657,487,154
,,,,PEACH ORCHARD,346,284,276,43,233,282,231,50
,,,,PELLA,148,120,116,9,107,120,101,17
,,,,ROGERS,291,219,215,68,147,218,138,73
,,,,SULLIVANT,344,284,279,43,236,281,222,52
,,,,WALL,152,135,130,20,110,130,104,25